scenario_id,fleet_size,hotpatch_delivery_success,hotpatch_delivery_delay_h,ota_rollout_duration_days,attack_attempt_level,attack_attempt_rate_per_vehicle_day,rollback_failure_rate,effective_hotpatch_success,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_vehicle_days,exposure_reduction_fraction,ota_only_expected_attack_attempts,hotpatch_first_expected_attack_attempts,ota_only_expected_successful_attacks,hotpatch_first_expected_successful_attacks,attack_success_probability,model
FS0225,100,0.85,24,7,high,0.2000,0.05,0.807500,350.000000,142.357143,207.642857,0.593265,70.000000,28.471429,54.180000,22.036886,0.774000,uniform_ota_closed_form_expectation
FS0226,100,0.85,24,14,low,0.0100,0.00,0.850000,700.000000,186.964286,513.035714,0.732908,7.000000,1.869643,5.418000,1.447104,0.774000,uniform_ota_closed_form_expectation
FS0227,100,0.85,24,14,low,0.0100,0.01,0.841500,700.000000,192.094643,507.905357,0.725579,7.000000,1.920946,5.418000,1.486813,0.774000,uniform_ota_closed_form_expectation
FS0228,100,0.85,24,14,low,0.0100,0.05,0.807500,700.000000,212.616071,487.383929,0.696263,7.000000,2.126161,5.418000,1.645648,0.774000,uniform_ota_closed_form_expectation
FS0229,100,0.85,24,14,medium,0.0500,0.00,0.850000,700.000000,186.964286,513.035714,0.732908,35.000000,9.348214,27.090000,7.235518,0.774000,uniform_ota_closed_form_expectation
FS0230,100,0.85,24,14,medium,0.0500,0.01,0.841500,700.000000,192.094643,507.905357,0.725579,35.000000,9.604732,27.090000,7.434063,0.774000,uniform_ota_closed_form_expectation
FS0231,100,0.85,24,14,medium,0.0500,0.05,0.807500,700.000000,212.616071,487.383929,0.696263,35.000000,10.630804,27.090000,8.228242,0.774000,uniform_ota_closed_form_expectation
FS0232,100,0.85,24,14,high,0.2000,0.00,0.850000,700.000000,186.964286,513.035714,0.732908,140.000000,37.392857,108.360000,28.942071,0.774000,uniform_ota_closed_form_expectation
FS0233,100,0.85,24,14,high,0.2000,0.01,0.841500,700.000000,192.094643,507.905357,0.725579,140.000000,38.418929,108.360000,29.736251,0.774000,uniform_ota_closed_form_expectation
FS0234,100,0.85,24,14,high,0.2000,0.05,0.807500,700.000000,212.616071,487.383929,0.696263,140.000000,42.523214,108.360000,32.912968,0.774000,uniform_ota_closed_form_expectation
FS0235,100,0.85,24,30,low,0.0100,0.00,0.850000,1500.000000,308.583333,1191.416667,0.794278,15.000000,3.085833,11.610000,2.388435,0.774000,uniform_ota_closed_form_expectation
FS0236,100,0.85,24,30,low,0.0100,0.01,0.841500,1500.000000,320.497500,1179.502500,0.786335,15.000000,3.204975,11.610000,2.480651,0.774000,uniform_ota_closed_form_expectation
FS0237,100,0.85,24,30,low,0.0100,0.05,0.807500,1500.000000,368.154167,1131.845833,0.754564,15.000000,3.681542,11.610000,2.849513,0.774000,uniform_ota_closed_form_expectation
FS0238,100,0.85,24,30,medium,0.0500,0.00,0.850000,1500.000000,308.583333,1191.416667,0.794278,75.000000,15.429167,58.050000,11.942175,0.774000,uniform_ota_closed_form_expectation
FS0239,100,0.85,24,30,medium,0.0500,0.01,0.841500,1500.000000,320.497500,1179.502500,0.786335,75.000000,16.024875,58.050000,12.403253,0.774000,uniform_ota_closed_form_expectation
FS0240,100,0.85,24,30,medium,0.0500,0.05,0.807500,1500.000000,368.154167,1131.845833,0.754564,75.000000,18.407708,58.050000,14.247566,0.774000,uniform_ota_closed_form_expectation
FS0241,100,0.85,24,30,high,0.2000,0.00,0.850000,1500.000000,308.583333,1191.416667,0.794278,300.000000,61.716667,232.200000,47.768700,0.774000,uniform_ota_closed_form_expectation
FS0242,100,0.85,24,30,high,0.2000,0.01,0.841500,1500.000000,320.497500,1179.502500,0.786335,300.000000,64.099500,232.200000,49.613013,0.774000,uniform_ota_closed_form_expectation
FS0243,100,0.85,24,30,high,0.2000,0.05,0.807500,1500.000000,368.154167,1131.845833,0.754564,300.000000,73.630833,232.200000,56.990265,0.774000,uniform_ota_closed_form_expectation
FS0244,100,0.85,24,60,low,0.0100,0.00,0.850000,3000.000000,534.291667,2465.708333,0.821903,30.000000,5.342917,23.220000,4.135418,0.774000,uniform_ota_closed_form_expectation
FS0245,100,0.85,24,60,low,0.0100,0.01,0.841500,3000.000000,558.948750,2441.051250,0.813684,30.000000,5.589487,23.220000,4.326263,0.774000,uniform_ota_closed_form_expectation
FS0246,100,0.85,24,60,low,0.0100,0.05,0.807500,3000.000000,657.577083,2342.422917,0.780808,30.000000,6.575771,23.220000,5.089647,0.774000,uniform_ota_closed_form_expectation
FS0247,100,0.85,24,60,medium,0.0500,0.00,0.850000,3000.000000,534.291667,2465.708333,0.821903,150.000000,26.714583,116.100000,20.677088,0.774000,uniform_ota_closed_form_expectation
FS0248,100,0.85,24,60,medium,0.0500,0.01,0.841500,3000.000000,558.948750,2441.051250,0.813684,150.000000,27.947437,116.100000,21.631317,0.774000,uniform_ota_closed_form_expectation
FS0249,100,0.85,24,60,medium,0.0500,0.05,0.807500,3000.000000,657.577083,2342.422917,0.780808,150.000000,32.878854,116.100000,25.448233,0.774000,uniform_ota_closed_form_expectation
FS0250,100,0.85,24,60,high,0.2000,0.00,0.850000,3000.000000,534.291667,2465.708333,0.821903,600.000000,106.858333,464.400000,82.708350,0.774000,uniform_ota_closed_form_expectation
FS0251,100,0.85,24,60,high,0.2000,0.01,0.841500,3000.000000,558.948750,2441.051250,0.813684,600.000000,111.789750,464.400000,86.525266,0.774000,uniform_ota_closed_form_expectation
FS0252,100,0.85,24,60,high,0.2000,0.05,0.807500,3000.000000,657.577083,2342.422917,0.780808,600.000000,131.515417,464.400000,101.792933,0.774000,uniform_ota_closed_form_expectation
FS0253,100,0.85,72,7,low,0.0100,0.00,0.850000,350.000000,252.857143,97.142857,0.277551,3.500000,2.528571,2.709000,1.957114,0.774000,uniform_ota_closed_form_expectation
