trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
98,request_security_seed,3.075908,3.132341,0.056433
98,send_security_key,3.299402,3.044549,-0.254853
98,session_reset,2.888732,3.062777,0.174045
98,write_target,3.062707,3.024015,-0.038692
99,enter_extended_session,3.063057,3.145051,0.081994
99,read_target_after,3.077095,3.068015,-0.009080
99,read_target_before,3.039939,2.961856,-0.078083
99,request_security_seed,3.178575,3.048809,-0.129766
99,send_security_key,3.052091,3.096791,0.044700
99,session_reset,2.807505,2.906960,0.099455
99,write_target,3.032466,3.072905,0.040439
100,enter_extended_session,3.138276,2.997685,-0.140591
100,read_target_after,2.995380,3.138905,0.143525
100,read_target_before,3.062917,3.023875,-0.039042
100,request_security_seed,3.050974,3.097070,0.046096
100,send_security_key,3.021222,3.070810,0.049588
100,session_reset,2.925747,2.774331,-0.151416
100,write_target,3.125286,3.024993,-0.100293
101,enter_extended_session,3.077444,3.051533,-0.025911
101,read_target_after,2.920370,3.053349,0.132979
101,read_target_before,2.993075,3.101679,0.108604
101,request_security_seed,3.152664,3.038263,-0.114401
101,send_security_key,3.002015,3.006765,0.004750
101,session_reset,2.659161,2.797169,0.138008
101,write_target,3.251211,3.036238,-0.214973
102,enter_extended_session,3.081774,3.126962,0.045188
102,read_target_after,3.164258,3.154061,-0.010197
102,read_target_before,3.026879,3.380209,0.353330
102,request_security_seed,3.029253,3.100353,0.071100
102,send_security_key,3.071228,3.071647,0.000419
102,session_reset,2.951798,2.803454,-0.148344
102,write_target,3.199946,2.789975,-0.409971
103,enter_extended_session,3.084079,3.033444,-0.050635
103,read_target_after,3.009418,2.998732,-0.010686
103,read_target_before,3.064524,3.091343,0.026819
103,request_security_seed,3.051184,3.031069,-0.020115
103,send_security_key,3.061031,3.080308,0.019277
103,session_reset,2.689053,2.894319,0.205266
103,write_target,3.097978,3.053628,-0.044350
104,enter_extended_session,3.367428,3.129407,-0.238021
104,read_target_after,3.069483,3.045946,-0.023537
104,read_target_before,3.090784,3.244297,0.153513
104,request_security_seed,2.735987,3.019685,0.283698
