vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0295,true,7237,510,6727,7237,7237
vehicle-0296,true,8612,610,8002,8612,8612
vehicle-0297,true,8540,1100,7440,8540,8540
vehicle-0298,true,7241,509,6732,7241,7241
vehicle-0299,true,8530,829,7701,8530,8530
vehicle-0300,true,7244,499,6745,7244,7244
vehicle-0301,true,7246,1039,6207,7246,7246
vehicle-0302,true,7259,523,6736,7259,7259
vehicle-0303,true,8613,477,8136,8613,8613
vehicle-0304,true,8615,780,7835,8615,8615
vehicle-0305,true,8525,533,7992,8525,8525
vehicle-0306,true,7260,439,6821,7260,7260
vehicle-0307,true,8622,434,8188,8622,8622
vehicle-0308,true,8513,544,7969,8513,8513
vehicle-0309,true,8566,460,8106,8566,8566
vehicle-0310,true,8649,781,7868,8649,8649
vehicle-0311,true,8572,876,7696,8572,8572
vehicle-0312,true,8531,451,8080,8531,8531
vehicle-0313,true,8575,824,7751,8575,8575
vehicle-0314,true,8575,977,7598,8575,8575
vehicle-0315,true,8596,427,8169,8596,8596
vehicle-0316,true,8570,487,8083,8570,8570
vehicle-0317,true,10032,386,9646,10032,10032
vehicle-0318,true,8623,600,8023,8623,8623
vehicle-0319,true,8611,594,8017,8611,8611
vehicle-0320,true,10078,538,9540,10078,10078
vehicle-0321,true,10084,685,9399,10084,10084
vehicle-0322,true,9964,447,9517,9964,9964
vehicle-0323,true,8653,449,8204,8653,8653
vehicle-0324,true,8615,467,8148,8615,8615
vehicle-0325,true,9977,478,9499,9977,9977
vehicle-0326,true,8642,723,7919,8642,8642
vehicle-0327,true,10091,428,9663,10091,10091
vehicle-0328,true,8650,496,8154,8650,8650
vehicle-0329,true,8620,453,8167,8620,8620
vehicle-0330,true,8653,739,7914,8653,8653
vehicle-0331,true,8656,762,7894,8656,8656
vehicle-0332,true,8657,731,7926,8657,8657
vehicle-0333,true,10049,684,9365,10049,10049
vehicle-0334,true,10064,521,9543,10064,10064
vehicle-0335,true,8657,479,8178,8657,8657
vehicle-0336,true,8658,499,8159,8658,8658
vehicle-0337,true,8660,513,8147,8660,8660
vehicle-0338,true,10067,786,9281,10067,10067
vehicle-0339,true,10011,564,9447,10011,10011
vehicle-0340,true,9993,464,9529,9993,9993
vehicle-0341,true,8660,780,7880,8660,8660
vehicle-0342,true,9955,526,9429,9955,9955
vehicle-0343,true,10000,557,9443,10000,10000
vehicle-0344,true,9987,525,9462,9987,9987
vehicle-0345,true,10025,815,9210,10025,10025
vehicle-0346,true,8665,551,8114,8665,8665
vehicle-0347,true,10054,537,9517,10054,10054
