time_min,time_hour,strategy,vulnerable_vehicle_count
24300,405.000,ota_only,127
24330,405.500,ota_only,127
24360,406.000,ota_only,120
24390,406.500,ota_only,112
24420,407.000,ota_only,102
24450,407.500,ota_only,95
24480,408.000,ota_only,85
24510,408.500,ota_only,71
24540,409.000,ota_only,67
24570,409.500,ota_only,67
24600,410.000,ota_only,67
24630,410.500,ota_only,67
24660,411.000,ota_only,67
24690,411.500,ota_only,67
24720,412.000,ota_only,67
24750,412.500,ota_only,67
24780,413.000,ota_only,67
24810,413.500,ota_only,67
24840,414.000,ota_only,67
24870,414.500,ota_only,67
24900,415.000,ota_only,67
24930,415.500,ota_only,67
24960,416.000,ota_only,67
24990,416.500,ota_only,67
25020,417.000,ota_only,67
25050,417.500,ota_only,67
25080,418.000,ota_only,67
25110,418.500,ota_only,67
25140,419.000,ota_only,67
25170,419.500,ota_only,67
25200,420.000,ota_only,67
25230,420.500,ota_only,67
25260,421.000,ota_only,67
25290,421.500,ota_only,67
25320,422.000,ota_only,67
25350,422.500,ota_only,67
25380,423.000,ota_only,67
25410,423.500,ota_only,67
25440,424.000,ota_only,67
25470,424.500,ota_only,67
25500,425.000,ota_only,67
25530,425.500,ota_only,67
25560,426.000,ota_only,67
25590,426.500,ota_only,67
25620,427.000,ota_only,67
25650,427.500,ota_only,67
25680,428.000,ota_only,67
25710,428.500,ota_only,67
25740,429.000,ota_only,67
25770,429.500,ota_only,67
25800,430.000,ota_only,61
25830,430.500,ota_only,55
25860,431.000,ota_only,44
25890,431.500,ota_only,33
25920,432.000,ota_only,20
25950,432.500,ota_only,12
25980,433.000,ota_only,12
26010,433.500,ota_only,12
26040,434.000,ota_only,12
26070,434.500,ota_only,12
26100,435.000,ota_only,12
26130,435.500,ota_only,12
26160,436.000,ota_only,12
26190,436.500,ota_only,12
26220,437.000,ota_only,12
26250,437.500,ota_only,12
26280,438.000,ota_only,12
26310,438.500,ota_only,12
26340,439.000,ota_only,12
26370,439.500,ota_only,12
26400,440.000,ota_only,12
26430,440.500,ota_only,12
26460,441.000,ota_only,12
26490,441.500,ota_only,12
26520,442.000,ota_only,12
26550,442.500,ota_only,12
