source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1371,52509624,0x7E0,8,062E1234B28F4900,2E1234B28F49
1372,52513707,0x7E8,8,037F2E3100000000,7F2E31
1373,52533899,0x7E0,8,062E1234C1DD5800,2E1234C1DD58
1374,52537980,0x7E8,8,037F2E3100000000,7F2E31
1375,52558474,0x7E0,8,042E1234E8000000,2E1234E8
1376,52562564,0x7E8,8,037F2E3100000000,7F2E31
1377,52582889,0x7E0,8,072E123478B154A3,2E123478B154A3
1378,52586965,0x7E8,8,037F2E3100000000,7F2E31
1379,52607312,0x7E0,8,062E1234DFAC5300,2E1234DFAC53
1380,52611394,0x7E8,8,037F2E3100000000,7F2E31
1381,52631474,0x7E0,8,052E123457B00000,2E123457B0
1382,52635561,0x7E8,8,037F2E3100000000,7F2E31
1383,52655851,0x7E0,8,042E1234A1000000,2E1234A1
1384,52659939,0x7E8,8,037F2E3100000000,7F2E31
1385,52680225,0x7E0,8,072E12340769059A,2E12340769059A
1386,52684312,0x7E8,8,037F2E3100000000,7F2E31
1387,52704645,0x7E0,8,072E12342BE3B025,2E12342BE3B025
1388,52708724,0x7E8,8,037F2E3100000000,7F2E31
1389,52729192,0x7E0,8,042E123430000000,2E123430
1390,52733283,0x7E8,8,037F2E3100000000,7F2E31
1391,52753413,0x7E0,8,042E12345B000000,2E12345B
1392,52757504,0x7E8,8,037F2E3100000000,7F2E31
1393,52777873,0x7E0,8,042E123413000000,2E123413
1394,52781961,0x7E8,8,037F2E3100000000,7F2E31
1395,52802314,0x7E0,8,052E10013A720000,2E10013A72
1396,52806406,0x7E8,8,037F2E3100000000,7F2E31
1397,52826643,0x7E0,8,072E3333D5E4A0D8,2E3333D5E4A0D8
1398,52830722,0x7E8,8,037F2E3100000000,7F2E31
1399,52851027,0x7E0,8,072E1234B28087D8,2E1234B28087D8
1400,52855104,0x7E8,8,037F2E3100000000,7F2E31
1401,52875447,0x7E0,8,072E1234B0609B2D,2E1234B0609B2D
1402,52879526,0x7E8,8,037F2E3100000000,7F2E31
1403,52899811,0x7E0,8,072E1234A1F160CB,2E1234A1F160CB
1404,52903887,0x7E8,8,037F2E3100000000,7F2E31
1405,52924162,0x7E0,8,042E12345B000000,2E12345B
1406,52928253,0x7E8,8,037F2E3100000000,7F2E31
1407,52948625,0x7E0,8,052E222200460000,2E22220046
1408,52952716,0x7E8,8,037F2E3100000000,7F2E31
1409,52973071,0x7E0,8,072E1234C19D8BEB,2E1234C19D8BEB
