trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
70,read_target_after,3.025417,3.011237,-0.014180
70,read_target_before,3.254493,2.958997,-0.295496
70,request_security_seed,2.877006,3.088480,0.211474
70,send_security_key,3.103079,3.254771,0.151692
70,session_reset,2.976040,2.924146,-0.051894
70,write_target,2.781324,2.953759,0.172435
71,enter_extended_session,3.450396,3.312668,-0.137728
71,read_target_after,3.217967,3.256726,0.038759
71,read_target_before,2.886434,3.112645,0.226211
71,request_security_seed,2.606933,2.875049,0.268116
71,send_security_key,3.085410,3.043923,-0.041487
71,session_reset,2.912275,2.840758,-0.071517
71,write_target,3.014871,3.281520,0.266649
72,enter_extended_session,2.823787,3.021644,0.197857
72,read_target_after,2.911227,3.083662,0.172435
72,read_target_before,3.224252,2.879170,-0.345082
72,request_security_seed,2.898866,3.272092,0.373226
72,send_security_key,3.018782,3.009771,-0.009011
72,session_reset,2.765890,2.601065,-0.164825
72,write_target,2.822042,3.055307,0.233265
73,enter_extended_session,3.261407,2.839919,-0.421488
73,read_target_after,3.013823,3.104474,0.090651
73,read_target_before,2.832866,3.172778,0.339912
73,request_security_seed,3.009982,3.215591,0.205609
73,send_security_key,2.877285,2.884827,0.007542
73,session_reset,2.857381,3.130385,0.273004
73,write_target,3.231865,3.036729,-0.195136
74,enter_extended_session,2.792568,2.844598,0.052030
74,read_target_after,2.898866,3.029535,0.130669
74,read_target_before,3.053144,2.876166,-0.176978
74,request_security_seed,2.901380,3.441035,0.539655
74,send_security_key,3.154481,2.952292,-0.202189
74,session_reset,2.738932,2.926311,0.187379
74,write_target,2.356765,3.097491,0.740726
75,enter_extended_session,2.816664,3.059986,0.243322
75,read_target_after,2.767216,3.033656,0.266440
75,read_target_before,2.835591,3.047764,0.212173
75,request_security_seed,3.114184,3.086665,-0.027519
75,send_security_key,3.007607,3.059637,0.052030
75,session_reset,3.112228,2.946914,-0.165314
75,write_target,3.255750,3.094976,-0.160774
76,enter_extended_session,2.920725,3.050488,0.129763
76,read_target_after,3.014382,2.923238,-0.091144
76,read_target_before,2.820225,2.887341,0.067116
76,request_security_seed,2.994268,3.012355,0.018087
76,send_security_key,3.255051,3.313716,0.058665
76,session_reset,2.955157,2.751711,-0.203446
76,write_target,3.049791,2.798923,-0.250868
77,enter_extended_session,3.128920,2.923308,-0.205612
77,read_target_after,3.009074,2.819735,-0.189339
77,read_target_before,2.899844,3.162651,0.262807
77,request_security_seed,2.973525,2.713787,-0.259738
77,send_security_key,2.863456,2.932108,0.068652
77,session_reset,2.939443,3.144562,0.205119
77,write_target,3.251490,3.020596,-0.230894
78,enter_extended_session,2.962421,2.987632,0.025211
78,read_target_after,3.058032,3.011028,-0.047004
78,read_target_before,3.085898,2.990914,-0.094984
78,request_security_seed,3.194640,3.201064,0.006424
78,send_security_key,2.833216,2.905429,0.072213
78,session_reset,2.757718,2.739000,-0.018718
78,write_target,3.036172,2.977295,-0.058877
79,enter_extended_session,3.074515,2.949010,-0.125505
79,read_target_after,2.893488,3.054957,0.161469
79,read_target_before,3.046368,3.282288,0.235920
79,request_security_seed,2.822880,3.048392,0.225512
79,send_security_key,2.879380,2.857449,-0.021931
79,session_reset,3.096584,3.002856,-0.093728
79,write_target,3.238848,2.829862,-0.408986
80,enter_extended_session,2.892441,3.034425,0.141984
80,read_target_after,3.064108,3.221387,0.157279
80,read_target_before,2.772105,3.027720,0.255615
80,request_security_seed,3.281941,3.195127,-0.086814
80,send_security_key,2.975202,2.890623,-0.084579
80,session_reset,2.892161,2.763723,-0.128438
80,write_target,2.846695,3.050488,0.203793
81,enter_extended_session,3.118234,2.856401,-0.261833
81,read_target_after,3.273699,3.082055,-0.191644
