vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0410,true,11398,713,10685,11398,11398
vehicle-0411,true,11475,435,11040,11475,11475
vehicle-0412,true,11492,677,10815,11492,11492
vehicle-0413,true,11473,467,11006,11473,11473
vehicle-0414,true,10109,459,9650,10109,10109
vehicle-0415,true,11509,996,10513,11509,11509
vehicle-0416,true,11476,630,10846,11476,11476
vehicle-0417,true,11511,467,11044,11511,11511
vehicle-0418,true,11445,512,10933,11445,11445
vehicle-0419,true,10112,465,9647,10112,10112
vehicle-0420,true,11443,675,10768,11443,11443
vehicle-0421,true,11386,731,10655,11386,11386
vehicle-0422,true,11492,483,11009,11492,11492
vehicle-0423,true,11479,449,11030,11479,11479
vehicle-0424,true,11472,385,11087,11472,11472
vehicle-0425,true,11501,400,11101,11501,11501
vehicle-0426,true,11502,1041,10461,11502,11502
vehicle-0427,true,11516,890,10626,11516,11516
vehicle-0428,true,11474,918,10556,11474,11474
vehicle-0429,true,10116,551,9565,10116,10116
vehicle-0430,true,11436,466,10970,11436,11436
vehicle-0431,true,11483,514,10969,11483,11483
vehicle-0432,true,12839,515,12324,12839,12839
vehicle-0433,true,11517,514,11003,11517,11517
vehicle-0434,true,11521,390,11131,11521,11521
vehicle-0435,true,12962,743,12219,12962,12962
vehicle-0436,true,12949,602,12347,12949,12949
vehicle-0437,true,12920,505,12415,12920,12920
vehicle-0438,true,11524,832,10692,11524,11524
vehicle-0439,true,12906,406,12500,12906,12906
vehicle-0440,true,11519,462,11057,11519,11519
vehicle-0441,true,11521,868,10653,11521,11521
vehicle-0442,true,11524,713,10811,11524,11524
vehicle-0443,true,12848,732,12116,12848,12848
vehicle-0444,true,12862,602,12260,12862,12862
vehicle-0445,true,11528,519,11009,11528,11528
vehicle-0446,true,11537,367,11170,11537,11537
vehicle-0447,true,12828,524,12304,12828,12828
vehicle-0448,true,12932,857,12075,12932,12932
vehicle-0449,true,12862,551,12311,12862,12862
vehicle-0450,true,11537,1001,10536,11537,11537
vehicle-0451,true,11546,573,10973,11546,11546
vehicle-0452,true,12880,419,12461,12880,12880
vehicle-0453,true,12875,977,11898,12875,12875
vehicle-0454,true,11547,773,10774,11547,11547
vehicle-0455,true,11554,609,10945,11554,11554
vehicle-0456,true,12970,619,12351,12970,12970
vehicle-0457,true,12959,481,12478,12959,12959
vehicle-0458,true,11556,455,11101,11556,11556
vehicle-0459,true,12848,698,12150,12848,12848
vehicle-0460,true,11561,614,10947,11561,11561
vehicle-0461,true,12856,539,12317,12856,12856
vehicle-0462,true,12864,771,12093,12864,12864
vehicle-0463,true,11562,435,11127,11562,11562
vehicle-0464,true,12867,478,12389,12867,12867
vehicle-0465,true,12883,669,12214,12883,12883
vehicle-0466,true,12865,459,12406,12865,12865
vehicle-0467,true,12866,460,12406,12866,12866
vehicle-0468,true,12826,758,12068,12826,12826
vehicle-0469,true,12918,424,12494,12918,12918
vehicle-0470,true,12865,474,12391,12865,12865
vehicle-0471,true,12861,690,12171,12861,12861
vehicle-0472,true,11573,654,10919,11573,11573
vehicle-0473,true,12888,452,12436,12888,12888
vehicle-0474,true,12885,1070,11815,12885,12885
vehicle-0475,true,12893,698,12195,12893,12893
vehicle-0476,true,12901,474,12427,12901,12901
vehicle-0477,true,12963,1072,11891,12963,12963
vehicle-0478,true,12975,720,12255,12975,12975
vehicle-0479,true,12970,533,12437,12970,12970
vehicle-0480,true,14329,525,13804,14329,14329
vehicle-0481,true,14340,1084,13256,14340,14340
vehicle-0482,true,12941,471,12470,12941,12941
vehicle-0483,true,12958,1159,11799,12958,12958
vehicle-0484,true,12906,464,12442,12906,12906
vehicle-0485,true,12915,452,12463,12915,12915
vehicle-0486,true,12975,919,12056,12975,12975
vehicle-0487,true,12910,964,11946,12910,12910
vehicle-0488,true,12932,811,12121,12932,12932
vehicle-0489,true,12919,374,12545,12919,12919
vehicle-0490,true,12974,432,12542,12974,12974
vehicle-0491,true,12946,859,12087,12946,12946
vehicle-0492,true,12910,642,12268,12910,12910
vehicle-0493,true,14354,430,13924,14354,14354
vehicle-0494,true,12930,559,12371,12930,12930
vehicle-0495,true,12933,818,12115,12933,12933
vehicle-0496,true,12963,604,12359,12963,12963
vehicle-0497,true,12951,420,12531,12951,12951
vehicle-0498,true,12968,954,12014,12968,12968
vehicle-0499,true,14311,658,13653,14311,14311
vehicle-0500,true,12955,703,12252,12955,12955
vehicle-0501,true,14306,887,13419,14306,14306
vehicle-0502,true,14333,643,13690,14333,14333
vehicle-0503,true,14399,460,13939,14399,14399
vehicle-0504,true,14411,757,13654,14411,14411
vehicle-0505,true,14298,511,13787,14298,14298
vehicle-0506,true,12975,426,12549,12975,12975
vehicle-0507,true,14269,508,13761,14269,14269
vehicle-0508,true,14282,841,13441,14282,14282
vehicle-0509,true,14311,390,13921,14311,14311
vehicle-0510,true,12977,980,11997,12977,12977
vehicle-0511,true,14373,533,13840,14373,14373
vehicle-0512,true,14313,608,13705,14313,14313
vehicle-0513,true,14312,544,13768,14312,14312
vehicle-0514,true,12978,740,12238,12978,12978
vehicle-0515,true,14343,503,13840,14343,14343
vehicle-0516,true,12991,409,12582,12991,12991
vehicle-0517,true,12996,557,12439,12996,12996
vehicle-0518,true,13000,531,12469,13000,13000
vehicle-0519,true,14346,534,13812,14346,14346
vehicle-0520,true,14403,377,14026,14403,14403
vehicle-0521,true,14384,503,13881,14384,14384
vehicle-0522,true,13008,388,12620,13008,13008
vehicle-0523,true,14319,928,13391,14319,14319
vehicle-0524,true,14266,698,13568,14266,14266
vehicle-0525,true,14318,438,13880,14318,14318
vehicle-0526,true,14284,560,13724,14284,14284
vehicle-0527,true,14380,1059,13321,14380,14380
vehicle-0528,true,14348,540,13808,14348,14348
vehicle-0529,true,14357,598,13759,14357,14357
vehicle-0530,true,14341,455,13886,14341,14341
vehicle-0531,true,14395,526,13869,14395,14395
vehicle-0532,true,14360,792,13568,14360,14360
vehicle-0533,true,14325,415,13910,14325,14325
vehicle-0534,true,14305,728,13577,14305,14305
vehicle-0535,true,14368,433,13935,14368,14368
vehicle-0536,true,14322,459,13863,14322,14322
vehicle-0537,true,14297,747,13550,14297,14297
vehicle-0538,true,14364,1108,13256,14364,14364
vehicle-0539,true,14336,789,13547,14336,14336
vehicle-0540,true,14358,440,13918,14358,14358
vehicle-0541,true,14350,835,13515,14350,14350
vehicle-0542,true,14363,466,13897,14363,14363
vehicle-0543,true,14414,607,13807,14414,14414
vehicle-0544,true,14380,779,13601,14380,14380
vehicle-0545,true,15795,511,15284,15795,15795
vehicle-0546,true,15832,792,15040,15832,15832
vehicle-0547,true,14367,1015,13352,14367,14367
vehicle-0548,true,15818,513,15305,15818,15818
vehicle-0549,true,14381,488,13893,14381,14381
vehicle-0550,true,15768,457,15311,15768,15768
vehicle-0551,true,14386,883,13503,14386,14386
vehicle-0552,true,15829,370,15459,15829,15829
vehicle-0553,true,14404,1020,13384,14404,14404
vehicle-0554,true,14395,586,13809,14395,14395
vehicle-0555,true,14402,643,13759,14402,14402
vehicle-0556,true,15722,499,15223,15722,15722
vehicle-0557,true,15742,549,15193,15742,15742
vehicle-0558,true,15768,502,15266,15768,15768
vehicle-0559,true,15788,519,15269,15788,15788
vehicle-0560,true,15796,430,15366,15796,15796
vehicle-0561,true,14403,495,13908,14403,14403
vehicle-0562,true,15754,480,15274,15754,15754
vehicle-0563,true,15743,725,15018,15743,15743
vehicle-0564,true,14405,671,13734,14405,14405
vehicle-0565,true,14408,613,13795,14408,14408
vehicle-0566,true,15793,561,15232,15793,15793
